"","annot.symbol","log2FC_avg","pvale_avg","adjPval_avg"
"1","CROCCP2",0.524027354838836,1.46213540158146e-08,0.000111022697526854
"2","DNAH17",0.65721183671532,1.50541734783768e-05,0.0090166911886591
"3","EHMT1",1.08114511976142,1.4687418773454e-05,0.00888777448987732
"4","FANCA",0.886270237600993,4.00536725388311e-07,0.000917107636461343
"5","KANK2",0.8302951431158,4.30043378599336e-06,0.00410098431405284
"6","KDM4B",0.832762217780279,6.29600793850314e-07,0.00120950469598846
"7","KIF1A",1.00272747565893,1.03504179892756e-07,0.00039431006287761
"8","LOC101928626",0.990407362582441,6.39910264069341e-06,0.00532448830612861
"9","MAN1B1",0.8552185955316,1.31211409017127e-06,0.00194896069096398
"10","MYO9B",0.787109006652952,7.3602017124878e-07,0.00133125858122921
"11","POLE",0.701395837849503,2.48171089050562e-07,0.000681179269904237
"12","RPS6KA2-AS1",0.747184065391642,3.29647956809186e-06,0.00345512707638735
"13","SMARCA4",0.856037751915123,3.69683394860944e-09,4.66995322928097e-05
